,Reference area,TIME_PERIOD,OBS_VALUE
337,Canada,2000-Q2,6.666667
338,Canada,2000-Q3,6.9
339,Canada,2000-Q4,6.9
340,Canada,2001-Q1,7.0
341,Canada,2001-Q2,7.1
342,Canada,2001-Q3,7.166667
343,Canada,2001-Q4,7.633333
344,Canada,2002-Q1,7.933333
345,Canada,2002-Q2,7.7
346,Canada,2002-Q3,7.533333
347,Canada,2002-Q4,7.566667
348,Canada,2003-Q1,7.466667
349,Canada,2003-Q2,7.666667
350,Canada,2003-Q3,7.8
351,Canada,2003-Q4,7.433333
352,Canada,2004-Q1,7.3
353,Canada,2004-Q2,7.166667
354,Canada,2004-Q3,7.0
355,Canada,2004-Q4,7.133333
356,Canada,2005-Q1,6.933333
357,Canada,2005-Q2,6.833333
358,Canada,2005-Q3,6.7
359,Canada,2005-Q4,6.533333
360,Canada,2006-Q1,6.6
361,Canada,2006-Q2,6.333333
362,Canada,2006-Q3,6.5
363,Canada,2006-Q4,6.366667
364,Canada,2007-Q1,6.333333
365,Canada,2007-Q2,6.2
366,Canada,2007-Q3,6.0
367,Canada,2007-Q4,6.1
368,Canada,2008-Q1,6.133333
369,Canada,2008-Q2,6.166667
370,Canada,2008-Q3,6.233333
371,Canada,2008-Q4,6.7
372,Canada,2009-Q1,8.0
373,Canada,2009-Q2,8.633333
374,Canada,2009-Q3,8.666667
375,Canada,2009-Q4,8.6
376,Canada,2010-Q1,8.366667
377,Canada,2010-Q2,8.133333
378,Canada,2010-Q3,8.2
379,Canada,2010-Q4,7.933333
380,Canada,2011-Q1,7.8
381,Canada,2011-Q2,7.733333
382,Canada,2011-Q3,7.433333
383,Canada,2011-Q4,7.533333
384,Canada,2012-Q1,7.566667
385,Canada,2012-Q2,7.466667
386,Canada,2012-Q3,7.366667
387,Canada,2012-Q4,7.366667
388,Canada,2013-Q1,7.166667
389,Canada,2013-Q2,7.166667
390,Canada,2013-Q3,7.233333
391,Canada,2013-Q4,7.266667
392,Canada,2014-Q1,7.233333
393,Canada,2014-Q2,7.2
394,Canada,2014-Q3,7.033333
395,Canada,2014-Q4,6.766667
396,Canada,2015-Q1,6.866667
397,Canada,2015-Q2,6.933333
398,Canada,2015-Q3,7.066667
399,Canada,2015-Q4,7.133333
400,Canada,2016-Q1,7.233333
401,Canada,2016-Q2,7.133333
402,Canada,2016-Q3,6.966667
403,Canada,2016-Q4,6.866667
404,Canada,2017-Q1,6.733333
405,Canada,2017-Q2,6.533333
406,Canada,2017-Q3,6.233333
407,Canada,2017-Q4,6.166667
408,Canada,2018-Q1,5.9
409,Canada,2018-Q2,5.9
410,Canada,2018-Q3,5.9
411,Canada,2018-Q4,5.633333
412,Canada,2019-Q1,5.766667
413,Canada,2019-Q2,5.6
414,Canada,2019-Q3,5.666667
415,Canada,2019-Q4,5.7
416,Denmark,1994-Q1,8.4
417,Denmark,1994-Q2,7.833333
418,Denmark,1994-Q3,7.5
419,Denmark,1994-Q4,7.2
420,Denmark,1995-Q1,6.9
421,Denmark,1995-Q2,6.8
422,Denmark,1995-Q3,6.7
423,Denmark,1995-Q4,6.633333
424,Denmark,1996-Q1,6.666667
425,Denmark,1996-Q2,6.533333
426,Denmark,1996-Q3,6.266667
427,Denmark,1996-Q4,5.8
428,Denmark,1997-Q1,5.466667
429,Denmark,1997-Q2,5.233333
430,Denmark,1997-Q3,5.166667
431,Denmark,1997-Q4,5.1
432,Denmark,1998-Q1,4.966667
433,Denmark,1998-Q2,4.866667
434,Denmark,1998-Q3,4.866667
435,Denmark,1998-Q4,4.833333
436,Denmark,1999-Q1,5.0
437,Denmark,1999-Q2,4.966667
438,Denmark,1999-Q3,5.166667
439,Denmark,1999-Q4,5.3
440,Denmark,2000-Q1,4.666667
441,Denmark,2000-Q2,4.433333
442,Denmark,2000-Q3,4.1
443,Denmark,2000-Q4,4.066667
444,Denmark,2001-Q1,4.366667
445,Denmark,2001-Q2,4.333333
446,Denmark,2001-Q3,4.633333
447,Denmark,2001-Q4,4.7
448,Denmark,2002-Q1,4.433333
449,Denmark,2002-Q2,4.4
450,Denmark,2002-Q3,4.933333
451,Denmark,2002-Q4,4.8
452,Denmark,2003-Q1,5.0
453,Denmark,2003-Q2,5.533333
454,Denmark,2003-Q3,5.433333
455,Denmark,2003-Q4,5.766667
456,Denmark,2004-Q1,5.666667
457,Denmark,2004-Q2,5.466667
458,Denmark,2004-Q3,5.6
459,Denmark,2004-Q4,5.333333
460,Denmark,2005-Q1,5.233333
461,Denmark,2005-Q2,5.066667
462,Denmark,2005-Q3,4.733333
463,Denmark,2005-Q4,4.166667
464,Denmark,2006-Q1,4.166667
465,Denmark,2006-Q2,4.1
466,Denmark,2006-Q3,3.7
467,Denmark,2006-Q4,3.633333
468,Denmark,2007-Q1,3.9
469,Denmark,2007-Q2,3.6
470,Denmark,2007-Q3,4.033333
471,Denmark,2007-Q4,3.566667
472,Denmark,2008-Q1,3.433333
473,Denmark,2008-Q2,3.466667
474,Denmark,2008-Q3,3.766667
475,Denmark,2008-Q4,4.133333
476,Denmark,2009-Q1,5.266667
477,Denmark,2009-Q2,6.533333
478,Denmark,2009-Q3,6.7
479,Denmark,2009-Q4,7.266667
480,Denmark,2010-Q1,7.666667
481,Denmark,2010-Q2,7.766667
482,Denmark,2010-Q3,7.633333
483,Denmark,2010-Q4,7.933333
484,Denmark,2011-Q1,7.9
485,Denmark,2011-Q2,7.466667
486,Denmark,2011-Q3,7.6
487,Denmark,2011-Q4,8.066667
488,Denmark,2012-Q1,7.733333
489,Denmark,2012-Q2,8.233334
490,Denmark,2012-Q3,7.766667
491,Denmark,2012-Q4,7.433333
492,Denmark,2013-Q1,7.533333
493,Denmark,2013-Q2,7.466667
494,Denmark,2013-Q3,7.366667
495,Denmark,2013-Q4,7.1
496,Denmark,2014-Q1,7.033333
497,Denmark,2014-Q2,6.833333
